"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "warp" "tow_length" "tow_vert_open" "tow_horiz_open" "gridcell" "station"
"133" 624 4 2 66.3927777777778 -24.0733333333333 66.3530555555556 -24.1502777777778 109 103 170 3 5.1 72.2 6242 6240477
"134" 624 5 4 66.1263888888889 -24.2169444444444 66.0688888888889 -24.2588888888889 47 69 90 3 5.4 59.4 6244 6240577
"135" 625 11 3 66.2216666666667 -25.8438888888889 66.1841666666667 -25.9252777777778 230 265 335 3 5.1 84 6253 6251177
"136" 625 16 2 66.2583333333333 -25.1416666666667 66.3083333333333 -25.125 127 132 245 3 5 74.2 6252 6251677
"137" 626 11 4 66.0638888888889 -26.1755555555556 66.0283333333333 -26.2694444444444 247 210 315 3 5.2 79 6264 6261177
"138" 663 1 4 66.6305555555555 -13.1058333333333 66.68 -13.0861111111111 256 200 265 3 4.8 82.6 6634 6630177
"139" 663 11 1 66.9211111111111 -13.7013888888889 66.9577777777778 -13.7752777777778 292 299 390 3 4.9 86.4 6631 6631177
"140" 664 2 3 66.5333333333333 -14.68 66.5563888888889 -14.8102777777778 147 152 110 3 5.2 74.2 6643 6640277
"141" 664 11 1 66.8733333333333 -15.0122222222222 66.8536111111111 -14.9033333333333 107 120 190 3 5.2 74 6641 6641177
"142" 665 2 2 66.9736111111111 -15.0680555555556 66.94 -15.1847222222222 147 138 235 3 5 78.4 6652 6650277
"143" 665 3 3 66.7341666666667 -15.6861111111111 66.7402777777778 -15.8094444444444 175 140 250 3 5.1 77.2 6653 6650377
"144" 666 11 3 66.7441666666667 -16.8375 66.6944444444444 -16.8219444444444 140 172 220 3 5.1 76.6 6663 6661177
"145" 666 14 1 66.8291666666667 -16.6 66.7830555555555 -16.6522222222222 179 148 220 3 5.1 76.8 6661 6661477
"146" 667 12 2 66.9091666666667 -17.3069444444444 66.8594444444444 -17.31 231 235 320 3 5 82.6 6672 6671277
"147" 667 14 2 66.7861111111111 -17.1177777777778 66.7502777777778 -17.0280555555556 213 251 345 3 5 81.6 6672 6671477
"148" 668 3 4 66.6391666666667 -18.0233333333333 66.6519444444445 -18.1388888888889 160 195 325 3 5 79.6 6684 6680377
