"reitur" "tow_nr" "smareitur" "start_lat" "start_lon" "end_lat" "end_lon" "start_tow_depth" "end_tow_depth" "warp" "tow_length" "tow_vert_open" "tow_horiz_open" "gridcell" "station"
"63" 319 62 1 63.2722222222222 -19.8388888888889 63.2444444444444 -19.9361111111111 594 522 560 3 5.6 127 3191 3196278
"64" 320 51 3 63.1088888888889 -20.6738888888889 63.0694444444444 -20.7652777777778 391 420 440 3 5.5 124 3203 3205178
"65" 320 61 4 63.1172222222222 -20.3438888888889 63.1197222222222 -20.4511111111111 431 452 435 3 5.7 121 3204 3206178
"66" 320 62 4 63.125 -20.1722222222222 63.0833333333333 -20.2333333333333 417 516 520 3 5.5 125 3204 3206278
"67" 321 51 3 63.1277777777778 -21.9444444444444 63.1 -22.0416666666667 516 517 540 3 5.6 126 3213 3215178
"68" 322 61 3 63.1305555555556 -22.775 63.1694444444444 -22.8277777777778 530 470 550 3 5.6 124 3223 3226178
"69" 322 62 4 63.0333333333333 -22.5694444444444 63.0527777777778 -22.6722222222222 601 647 600 3 5.6 125 3224 3226278
"70" 323 51 4 63.1666666666667 -23.4055555555556 63.1333333333333 -23.4944444444444 478 516 500 3 5.5 124 3234 3235178
"71" 323 61 3 63.0555555555556 -23.7555555555556 63.0222222222222 -23.8388888888889 552 546 560 3 5.6 127 3233 3236178
"72" 324 51 4 63.1166666666667 -24.3111111111111 63.1555555555556 -24.2361111111111 303 281 360 3 5.6 118 3244 3245178
"73" 324 52 2 63.3444444444444 -24.3222222222222 63.3666666666667 -24.2333333333333 196 182 250 3 5.6 110 3242 3245278
"74" 324 61 4 63.0222222222222 -24.4277777777778 63.0333333333333 -24.3166666666667 406 414 450 3 5.6 125 3244 3246178
"75" 325 51 1 63.4527777777778 -25.6194444444444 63.4083333333333 -25.575 313 297 320 3 5.7 115 3251 3255178
"76" 325 52 4 63.0861111111111 -25.0694444444444 63.0527777777778 -24.9888888888889 461 473 510 3 5.6 126 3254 3255278
"77" 325 53 4 62.9944444444444 -25.1888888888889 63.0166666666667 -25.2694444444444 644 675 710 3 5.6 130 3254 3255378
"78" 325 54 4 63.0888888888889 -25.4166666666667 63.125 -25.4833333333333 821 878 880 3 5.5 131 3254 3255478
